user,radius (cm),angle (deg)
0,1.49,3.2
0,6.21,45.4
0,11.56,340.1
0,4.12,273.4
0,7.48,205.7
0,9.43,133.2
0,8.11,159.5
0,5.59,21.4
0,4.91,82.3
1,10.74,115.8
1,3.7,295
1,2.4,300
1,4.2,134
1,0.6,236
1,0.5,18
1,3.3,16
1,7.6,224
1,6.1,290
1,2.3,224
2,4.9,8
2,7.5,74
2,4.5,56
2,5.25,102
2,6,92
2,2,134
2,4.5,16
2,4,66
2,13.25,284
2,3,84
3,7,290
3,1.5,18
3,6,63
3,5,115
3,4.5,122
3,5.5,137
3,0.5,205
3,7,76
3,2.5,117
3,4,101
4,2.5,281
4,3,340
4,5.5,185
4,8,67
4,3.5,7
4,2.5,255
4,3,290
4,3.5,295
4,4.5,250
4,8.5,275
5,10.5,304
5,1.2,120
5,16.6,90
5,14.3,152
5,14.4,150
5,4.6,210
5,5.9,100
5,3.7,86
5,14.2,10
5,7.3,65
6,10.1,88
6,1,30
6,4.5,60
6,6,101
6,6.1,110
6,1.4,160
6,0.8,200
6,4,250
6,3.7,273
6,2.3,320
7,1.4,340
7,11,260
7,12,53
7,12.5,88
7,8.2,138
7,3.6,130
7,2,15
7,6.2,175
7,9.5,225
7,12.5,302
8,4,268
8,10,98
8,4.6,83
8,2.7,102
8,3.4,42
8,2.8,24
8,3.4,-6
8,3.5,-42
8,2.9,-46
8,3.8,-47
9,5.6,-84
9,4,310
9,4,140
9,8,155
9,9,75
9,12,85
9,13,65
9,15,110
9,11,200
9,14,190
10,8,290
10,8,140
10,2.2,15
10,9.7,97
10,6,122
10,7.5,330
10,5.9,100
10,3.1,190
10,9.8,150
10,10.2,45
11,4.8,22
11,10,92
11,5.1,92
11,5.4,122
11,3.1,164
11,2.6,338
11,3.4,234
11,5.7,295
11,7.9,263
11,8.9,259
12,12.4,242
12,8.2,85
12,5.3,92
12,3.1,105
12,2.6,11
12,6.4,65
12,1.1,112
12,3.5,121
12,4.8,92
12,3.2,76
13,2,90
13,6.6,216
13,2.4,272
13,3,320
13,0.5,16
13,4.3,44
13,2.6,60
13,1.1,124
13,2.4,358
13,6.1,86
14,3.4,174
14,14,128
14,5,220
14,12.5,338
14,15.5,290
14,13.5,284
14,15,236
14,4,290
14,3,25
14,6.5,85
15,16.5,105
15,2,50
15,2.7,164
15,4,194
15,5,330
15,5.2,262
15,6,90
15,8.1,305
15,8.5,48
15,8.5,136
16,10,240
16,3,275
16,7,61
16,2,51
16,6,255
16,12,64
16,4,77
16,4,184
16,5,111
16,8,119
17,11,15
17,3.2,0
17,4.1,12
17,2,20
17,2.2,38
17,3.2,39
17,1.5,50
17,2.9,52
17,9.4,88
17,3.9,180
18,10.2,241
18,5.5,20
18,2,200
18,7,170
18,4.5,70
18,6.5,330
18,4,290
18,1,240
18,1.5,90
18,6,120
19,4.5,280
19,2.4,15
19,6.7,45
19,3.5,121
19,6.9,126
19,4.5,129
19,3.8,134
19,4.3,221
19,5,257
19,2.4,322
20,1.8,337
20,7.75,9
20,7.6,82.5
20,5.4,122
20,5.8,154.5
20,7.2,211
20,4.5,220
20,3.6,260
20,5,278
20,3.8,316
21,6.5,339
21,10,86
21,6.5,102
21,8,124
21,13,78
21,3.5,270
21,4,180
21,17,251
21,9,93
21,4.5,90
22,6,270
22,5,8.5
23,2.5,317
23,7,35
23,9,166
23,2,112
23,14,330
23,13,240
23,5,105
23,11,60
23,4,52
23,8,262
24,13,155
24,8.9,9
24,5,82
24,5.4,290
24,5.8,20
24,7.2,220
24,4.5,180
24,3.6,270
24,5,278
24,3.8,316
25,6.5,339
25,4,95
25,12,90
25,11.5,67
25,12.5,35
25,11,30
25,6,357
25,13,300
25,18,308
25,10,182
26,13,235
26,3,155
26,1.5,50
26,1.6,172
26,0.75,80
26,2.5,12.5
26,1.5,145
26,1.75,95
26,2.25,170
26,1.75,110
27,0.75,140
27,3.5,108
27,8,252
27,12.5,240
27,14,194
27,1.5,86
27,8,124
27,10.5,64
27,8,46
27,13,0
28,12.5,62
28,4.8,37
28,2.2,44
28,2.5,96
28,4.6,104
28,4.1,115
28,2.3,135
28,3.8,140
28,2.9,197
28,5.1,244
29,2.3,287
29,7.2,276
29,13.5,284
29,10.2,272
29,2.5,72
29,12.8,258
29,6.9,236
29,7.2,70
29,8.5,112
29,9,294
30,13.5,256
30,4,24
30,8,257
30,2,75
30,5,268
30,8,142
30,6,200
30,3,340
30,5,16
30,6,39
31,4,127
31,7,150
31,1,30
31,2.5,45
31,3,62
31,2.8,110
31,4,246
31,1.7,155
31,3.6,176
31,0.5,18
32,3.3,335
32,4.7,286
